T,Li,Be,C,Na,Mg,A1,Si,K,Ca,Ca_1,Sc,Ti,V,Cr,Fe,Fe_1,Ni,Cu,Zn,Ge,Kr,Rb,Sr,Y,Zr,Nb,Mo,Pd,Ag,Sn,Xe,Cs,Ba,La,Tb,Ho,Ta,W,Pt,Au,Pb,Th
(K),(B.c.c.) ,(H.c.p.) ,(Dia) ,(B.c.c.), (H.c.p.) ,(F.c.c.) ,(Dia) ,(B.c.c.) ,(F.c.c.) ,(B.c.c.),(H.c.p.) ,(H.c.p.),(B.c.c.),(B.c.c.),(B.c.c.),(F.c.c.),(F.c.c.),(F.c.c.),(H.c.p.),(Dia),(F.c.c.),(B.c.c.),(B.c.c.),(H.c.p.),(H.c.p.),(B.c.c.),(B.c.c.),(F.c.c.),(F.c.c.),(Dia),(F.c.c.),(B.c.c.),(B.c.c.),(F.c.c.),(H.c.p.),(H.c.p.),(B.c.c.),(B.c.c.),(F.c.c.),(F.c.c.),(F.c.c.),(F.c.c.)
85,1.9009,0.3637,0.1299,1.9377,0.5263,0.3301,0.217,3.1319,0.5805,0.7556,0.2165,0.1491,0.166,0.1259,0.1461,0.1619,0.1502,0.1598,0.3317,0.1670,2.8102,3.8986,1.1061,0.2486,0.1652,0.1306,0.0626,0.1294,0.2134,0.3290,2.5987,5.2797,0.8961,0.5419,0.2944,0.2444,0.0936,0.0464,0.1082,0.1802,0.6228,0.2125
90,1.478,0.3652,0.13,2.0516,0.5572,0.3374,0.2201,3.3159,0.6146,0.8,0.2292,0.1579,0.1758,0.1274,0.1493,0.1715,0.1094,0.1692,0.3512,0.1844,2.9748,4.1269,1.1710,0.2633,0.1749,0.1383,0.0662,0.1370,0.2259,0.3483,2.7507,5.5878,0.9488,0.5738,0.3117,0.2588,0.0991,0.0491,0.1145,0.1908,0.6593,0.2250
110,1.8063,0.3719,0.1307,2.5072,0.681,0.2932,0.2342,4.051,0.7511,0.9777,0.2801,0.193,0.2148,0.0943,0.1221,0.2095,0.1337,0.2068,0.4292,0.2254,3.6321,5.0388,1.4308,0.3217,0.2137,0.1690,0.0809,0.1674,0.2761,0.4257,3.3574,6.8158,1.1591,0.7010,0.3809,0.3162,0.1211,0.0600,0.1400,0.2332,0.8055,0.2750
120,1.9705,0.3758,0.1311,2.7348,0.7429,0.3198,0.2423,4.4182,0.8194,1.0665,0.3056,0.2105,0.2343,0.1028,0.1332,0.2286,0.1458,0.2256,0.4682,0.2458,,5.4935,1.5606,0.3510,0.2331,0.1843,0.0883,0.1827,0.3012,0.4644,3.6598,7.4268,1.2641,0.7646,0.4155,0.3449,0.1321,0.0654,0.1527,0.2544,0.8784,0.2999
130,2.1347,0.38,0.1315,2.9624,0.8048,0.3465,0.2511,4.7852,0.8876,1.1553,0.331,0.2281,0.2539,0.1114,0.1443,0.2476,0.1580,0.2444,0.5072,0.2663,,5.9475,1.6903,0.3802,0.2526,0.1997,0.0957,0.1979,0.3262,0.5031,3.9614,8.0355,1.3691,0.8281,0.4500,0.3737,0.1431,0.0709,0.1654,0.2755,0.9514,0.3249
140,2.2989,0.3846,0.132,3.19,0.8667,0.3731,0.2607,5.1518,0.9558,1.2441,0.3565,0.2456,0.2734,0.1200,0.1554,0.2667,0.1701,0.2632,0.5462,0.2868,,6.4004,1.8199,0.4094,0.2720,0.2150,0.1030,0.2131,0.3513,0.5418,4.2622,8.6418,1.4739,0.8916,0.4846,0.4023,0.1541,0.0763,0.1781,0.2967,1.0242,0.3498
160,2.6272,0.3947,0.133,3.6448,0.9904,0.4264,0.2648,5.884,1.0922,1.4216,0.4074,0.2807,0.3124,0.1371,0.1775,0.3047,0.1944,0.3008,0.6242,0.3278,,7.3033,2.0788,0.4678,0.3108,0.2457,0.1177,0.2435,0.4015,0.6191,4.8611,9.8464,1.6833,1.0185,0.5536,0.4597,0.1761,0.0872,0.2035,0.3390,1.1697,0.3997
170,2.7913,0.4002,0.1336,3.8721,1.0523,0.4531,0.2814,6.2496,1.1603,1.5104,0.4328,0.2982,0.332,0.1457,0.1886,0.3238,0.2066,0.3196,0.6632,0.3483,,7.7531,2.2082,0.4970,0.3302,0.2611,0.1251,0.2587,0.4265,0.6577,,10.4443,1.7878,1.0818,0.5881,0.4883,0.1871,0.0927,0.2162,0.3602,1.2423,0.4246
180,2.9554,0.4061,0.1342,4.0993,1.1141,0.4797,0.2979,6.6148,1.2285,1.5991,0.4583,0.3158,0.3515,0.1542,0.1997,0.3428,0.2187,0.3384,0.7022,0.3687,,8.2016,2.3374,0.5262,0.3496,0.2764,0.1324,0.2739,0.4516,0.6964,,11.0390,1.8922,1.1451,0.6226,0.5170,0.1981,0.0981,0.2289,0.3813,1.3148,0.4495
